['positive', 'negative', 'neutral'][0.9695788025856018, 0.016329199075698853, 0.01409198995679617]	['positive', 'negative', 'neutral'][0.43615424633026123, 0.33160868287086487, 0.23223702609539032]	
['positive', 'negative', 'neutral'][0.7774335145950317, 0.15366584062576294, 0.06890066713094711]	['positive', 'negative', 'neutral'][0.5973625779151917, 0.3163596987724304, 0.08627773821353912]	['negative', 'positive', 'neutral'][0.39729106426239014, 0.3879658877849579, 0.21474307775497437]	
['neutral', 'negative', 'positive'][0.36921003460884094, 0.35892707109451294, 0.2718628942966461]	['positive', 'negative', 'neutral'][0.7774335145950317, 0.15366584062576294, 0.06890066713094711]	['positive', 'neutral', 'negative'][0.420518696308136, 0.37878257036209106, 0.20069871842861176]	
['negative', 'positive', 'neutral'][0.44518446922302246, 0.35437771677970886, 0.2004377841949463]	['positive', 'neutral', 'negative'][0.420518696308136, 0.37878257036209106, 0.20069871842861176]	['positive', 'neutral', 'negative'][0.4561343789100647, 0.34499093890190125, 0.19887462258338928]	
['negative', 'positive', 'neutral'][0.44518446922302246, 0.35437771677970886, 0.2004377841949463]	['positive', 'negative', 'neutral'][0.4056726396083832, 0.3552073538303375, 0.2391199767589569]	['neutral', 'positive', 'negative'][0.3765009939670563, 0.3669693171977997, 0.25652962923049927]	
['negative', 'neutral', 'positive'][0.6047558784484863, 0.23445488512516022, 0.16078925132751465]	['positive', 'negative', 'neutral'][0.7809891700744629, 0.12070607393980026, 0.09830471128225327]	['positive', 'neutral', 'negative'][0.43399661779403687, 0.3159082233905792, 0.2500951588153839]	
['neutral', 'positive', 'negative'][0.891284167766571, 0.09867025911808014, 0.010045626200735569]	['positive', 'neutral', 'negative'][0.43399661779403687, 0.3159082233905792, 0.2500951588153839]	['negative', 'positive', 'neutral'][0.9355513453483582, 0.036767493933439255, 0.027681101113557816]	
['neutral', 'positive', 'negative'][0.891284167766571, 0.09867025911808014, 0.010045626200735569]	['positive', 'neutral', 'negative'][0.924257218837738, 0.04451129212975502, 0.031231531873345375]	['positive', 'neutral', 'negative'][0.8849249482154846, 0.06946709007024765, 0.045607950538396835]	
['negative', 'neutral', 'positive'][0.47342750430107117, 0.31833353638648987, 0.20823891460895538]	['negative', 'neutral', 'positive'][0.47342750430107117, 0.31833353638648987, 0.20823891460895538]	['positive', 'negative', 'neutral'][0.4620618224143982, 0.27025550603866577, 0.26768264174461365]	
['neutral', 'negative', 'positive'][0.47607898712158203, 0.3596271872520447, 0.1642938256263733]	['neutral', 'positive', 'negative'][0.4756815433502197, 0.34652528166770935, 0.17779314517974854]	['neutral', 'negative', 'positive'][0.5762888193130493, 0.271609365940094, 0.15210188925266266]	
['positive', 'negative', 'neutral'][0.6015232801437378, 0.2642681300640106, 0.13420860469341278]	['positive', 'neutral', 'negative'][0.9693906903266907, 0.015722954645752907, 0.014886320568621159]	['negative', 'neutral', 'positive'][0.5059391260147095, 0.2646666169166565, 0.22939425706863403]	
['neutral', 'positive', 'negative'][0.6248556971549988, 0.23465460538864136, 0.14048968255519867]	['positive', 'neutral', 'negative'][0.9577774405479431, 0.02877952717244625, 0.013443111442029476]	['positive', 'negative', 'neutral'][0.5003876090049744, 0.27681848406791687, 0.22279392182826996]	
['positive', 'neutral', 'negative'][0.9451484680175781, 0.044683072715997696, 0.010168539360165596]	['negative', 'positive', 'neutral'][0.8609943389892578, 0.07844047993421555, 0.06056510657072067]	['positive', 'neutral', 'negative'][0.811505913734436, 0.09749961644411087, 0.09099456667900085]	
['negative', 'positive', 'neutral'][0.9866452217102051, 0.007812469266355038, 0.005542273633182049]	['negative', 'positive', 'neutral'][0.46760988235473633, 0.27756449580192566, 0.2548255920410156]	['positive', 'neutral', 'negative'][0.5732179284095764, 0.24774090945720673, 0.17904113233089447]	
['negative', 'positive', 'neutral'][0.40086182951927185, 0.381087064743042, 0.21805110573768616]	['negative', 'neutral', 'positive'][0.9855135679244995, 0.00876849889755249, 0.005717979744076729]	['positive', 'neutral', 'negative'][0.7803940773010254, 0.12586094439029694, 0.09374501556158066]	
['negative', 'positive', 'neutral'][0.9669454097747803, 0.02012641727924347, 0.012928172945976257]	['positive', 'neutral', 'negative'][0.5555682182312012, 0.26938071846961975, 0.17505104839801788]	['negative', 'positive', 'neutral'][0.8333353400230408, 0.15218111872673035, 0.014483579434454441]	
['negative', 'positive', 'neutral'][0.9724092483520508, 0.015628814697265625, 0.01196194626390934]	['negative', 'positive', 'neutral'][0.9669454097747803, 0.02012641727924347, 0.012928172945976257]	['negative', 'positive', 'neutral'][0.9605745077133179, 0.02332674153149128, 0.016098763793706894]	
['positive', 'negative', 'neutral'][0.5912492871284485, 0.31938114762306213, 0.08936949819326401]	['negative', 'positive', 'neutral'][0.9605745077133179, 0.02332674153149128, 0.016098763793706894]	['negative', 'positive', 'neutral'][0.6504484415054321, 0.21132349967956543, 0.13822808861732483]	
['positive', 'negative', 'neutral'][0.5912492871284485, 0.31938114762306213, 0.08936949819326401]	['positive', 'neutral', 'negative'][0.8070061802864075, 0.13402846455574036, 0.0589652918279171]	['neutral', 'positive', 'negative'][0.4189539849758148, 0.3367057144641876, 0.24434033036231995]	
['positive', 'negative', 'neutral'][0.8907002806663513, 0.055093929171562195, 0.05420580878853798]	['positive', 'negative', 'neutral'][0.8907002806663513, 0.055093929171562195, 0.05420580878853798]	['positive', 'neutral', 'negative'][0.5767651796340942, 0.21859362721443176, 0.20464113354682922]	
['positive', 'neutral', 'negative'][0.5499995946884155, 0.40685027837753296, 0.043150100857019424]	['positive', 'negative', 'neutral'][0.5384093523025513, 0.24286560714244843, 0.2187250256538391]	['neutral', 'negative', 'positive'][0.8094738721847534, 0.14781562983989716, 0.04271054267883301]	
['negative', 'positive', 'neutral'][0.43545734882354736, 0.352539598941803, 0.21200306713581085]	['neutral', 'negative', 'positive'][0.8094738721847534, 0.14781562983989716, 0.04271054267883301]	['neutral', 'positive', 'negative'][0.8786165714263916, 0.09911324828863144, 0.022270170971751213]	
['negative', 'positive', 'neutral'][0.43545734882354736, 0.352539598941803, 0.21200306713581085]	['positive', 'neutral', 'negative'][0.7906619906425476, 0.1466963142156601, 0.06264178454875946]	['positive', 'neutral', 'negative'][0.9352628588676453, 0.03776758536696434, 0.026969583705067635]	
['positive', 'neutral', 'negative'][0.38874509930610657, 0.3168615996837616, 0.2943933606147766]	['positive', 'neutral', 'negative'][0.9352628588676453, 0.03776758536696434, 0.026969583705067635]	['negative', 'neutral', 'positive'][0.4913235902786255, 0.37803786993026733, 0.13063856959342957]	
['positive', 'neutral', 'negative'][0.38874509930610657, 0.3168615996837616, 0.2943933606147766]	['negative', 'positive', 'neutral'][0.9238043427467346, 0.05217067152261734, 0.024024948477745056]	['positive', 'neutral', 'negative'][0.9196752309799194, 0.07219899445772171, 0.008125700987875462]	
['positive', 'neutral', 'negative'][0.7727079391479492, 0.11830849200487137, 0.10898350179195404]	['positive', 'negative', 'neutral'][0.42681965231895447, 0.2872421145439148, 0.28593820333480835]	['positive', 'neutral', 'negative'][0.4141421914100647, 0.3673466444015503, 0.21851114928722382]	
['negative', 'neutral', 'positive'][0.5700245499610901, 0.30264031887054443, 0.1273350864648819]	['positive', 'neutral', 'negative'][0.4141421914100647, 0.3673466444015503, 0.21851114928722382]	['positive', 'neutral', 'negative'][0.9172221422195435, 0.04667462781071663, 0.036103151738643646]	
['negative', 'neutral', 'positive'][0.5700245499610901, 0.30264031887054443, 0.1273350864648819]	['negative', 'neutral', 'positive'][0.5700245499610901, 0.30264031887054443, 0.1273350864648819]	['positive', 'negative', 'neutral'][0.5786370038986206, 0.24875035881996155, 0.17261262238025665]	
['positive', 'negative', 'neutral'][0.43335461616516113, 0.3934108018875122, 0.17323461174964905]	['positive', 'negative', 'neutral'][0.43335461616516113, 0.3934108018875122, 0.17323461174964905]	['positive', 'negative', 'neutral'][0.6120690107345581, 0.22294344007968903, 0.16498756408691406]	
['positive', 'neutral', 'negative'][0.6781970858573914, 0.19757814705371857, 0.12422472983598709]	['neutral', 'negative', 'positive'][0.3661571443080902, 0.34157606959342957, 0.2922667860984802]	['negative', 'neutral', 'positive'][0.46670767664909363, 0.3278982639312744, 0.20539414882659912]	
['positive', 'negative', 'neutral'][0.5750033855438232, 0.28424060344696045, 0.1407560110092163]	['positive', 'negative', 'neutral'][0.9550634026527405, 0.023636210709810257, 0.02130037732422352]	['positive', 'negative', 'neutral'][0.4269436299800873, 0.3280346691608429, 0.2450217455625534]	
['positive', 'neutral', 'negative'][0.9513076543807983, 0.03653385117650032, 0.01215850654989481]	['positive', 'negative', 'neutral'][0.525454044342041, 0.3098668158054352, 0.16467918455600739]	['positive', 'negative', 'neutral'][0.9763191342353821, 0.012061470188200474, 0.01161941047757864]	
['neutral', 'positive', 'negative'][0.6231830716133118, 0.3328110873699188, 0.04400584474205971]	['positive', 'negative', 'neutral'][0.9763191342353821, 0.012061470188200474, 0.01161941047757864]	['positive', 'neutral', 'negative'][0.9240291118621826, 0.0496993325650692, 0.026271602138876915]	
['neutral', 'positive', 'negative'][0.6231830716133118, 0.3328110873699188, 0.04400584474205971]	['positive', 'neutral', 'negative'][0.9240291118621826, 0.0496993325650692, 0.026271602138876915]	['positive', 'neutral', 'negative'][0.5427865386009216, 0.3088839650154114, 0.14832957088947296]	
['neutral', 'positive', 'negative'][0.6231830716133118, 0.3328110873699188, 0.04400584474205971]	['positive', 'negative', 'neutral'][0.5199877023696899, 0.29273083806037903, 0.18728139996528625]	['positive', 'neutral', 'negative'][0.7838021516799927, 0.1943187713623047, 0.021879035979509354]	
['positive', 'negative', 'neutral'][0.5966999530792236, 0.21460646390914917, 0.1886935532093048]	['neutral', 'positive', 'negative'][0.6231830716133118, 0.3328110873699188, 0.04400584474205971]	['positive', 'neutral', 'negative'][0.5702589154243469, 0.22074684500694275, 0.20899419486522675]	
['neutral', 'positive', 'negative'][0.4223736524581909, 0.31598961353302, 0.2616366744041443]	['positive', 'neutral', 'negative'][0.7018954753875732, 0.17120572924613953, 0.12689878046512604]	['neutral', 'negative', 'positive'][0.7649009227752686, 0.1272556334733963, 0.10784341394901276]	
['neutral', 'positive', 'negative'][0.819377601146698, 0.16892139613628387, 0.011701012961566448]	['neutral', 'positive', 'negative'][0.8461239337921143, 0.11540646106004715, 0.0384695865213871]	['positive', 'neutral', 'negative'][0.5849704742431641, 0.39992550015449524, 0.015104079619050026]	
['positive', 'neutral', 'negative'][0.9663916230201721, 0.022840090095996857, 0.010768214240670204]	['positive', 'neutral', 'negative'][0.7347206473350525, 0.18774524331092834, 0.07753409445285797]	['positive', 'neutral', 'negative'][0.576510488986969, 0.27444735169410706, 0.14904215931892395]	
['positive', 'neutral', 'negative'][0.40634095668792725, 0.30014854669570923, 0.2935104966163635]	['negative', 'neutral', 'positive'][0.7128470540046692, 0.1681481897830963, 0.11900480091571808]	['positive', 'neutral', 'negative'][0.4108237326145172, 0.2991597056388855, 0.2900165915489197]	
['positive', 'neutral', 'negative'][0.8563948273658752, 0.09815879166126251, 0.045446354895830154]	['positive', 'neutral', 'negative'][0.5020788311958313, 0.2926654815673828, 0.20525571703910828]	['neutral', 'positive', 'negative'][0.5306811332702637, 0.4018265902996063, 0.06749232858419418]	
['positive', 'neutral', 'negative'][0.8563948273658752, 0.09815879166126251, 0.045446354895830154]	['positive', 'negative', 'neutral'][0.4147438406944275, 0.3026290833950043, 0.28262701630592346]	['positive', 'negative', 'neutral'][0.4547993242740631, 0.38669058680534363, 0.15851013362407684]	
['positive', 'neutral', 'negative'][0.7840433120727539, 0.10914658010005951, 0.10681013017892838]	['negative', 'neutral', 'positive'][0.3488479256629944, 0.3290509879589081, 0.32210105657577515]	['positive', 'negative', 'neutral'][0.5832551121711731, 0.2765054702758789, 0.14023929834365845]	
['negative', 'positive', 'neutral'][0.3484185039997101, 0.3402360677719116, 0.3113454282283783]	['neutral', 'negative', 'positive'][0.4540673494338989, 0.4259514808654785, 0.11998122185468674]	['positive', 'neutral', 'negative'][0.5620589256286621, 0.2585451304912567, 0.17939592897891998]	
['negative', 'positive', 'neutral'][0.5373237729072571, 0.3285455107688904, 0.1341307908296585]	['positive', 'negative', 'neutral'][0.39221933484077454, 0.339829683303833, 0.26795095205307007]	['positive', 'neutral', 'negative'][0.6253300309181213, 0.26232221722602844, 0.11234768480062485]	
['positive', 'neutral', 'negative'][0.6013491749763489, 0.2533309757709503, 0.14531981945037842]	['positive', 'neutral', 'negative'][0.6253300309181213, 0.26232221722602844, 0.11234768480062485]	['neutral', 'negative', 'positive'][0.4016624987125397, 0.3461102247238159, 0.2522272765636444]	
['positive', 'neutral', 'negative'][0.6013491749763489, 0.2533309757709503, 0.14531981945037842]	['neutral', 'negative', 'positive'][0.4016624987125397, 0.3461102247238159, 0.2522272765636444]	['neutral', 'negative', 'positive'][0.66984623670578, 0.2358638346195221, 0.09428992867469788]	
['positive', 'neutral', 'negative'][0.6013491749763489, 0.2533309757709503, 0.14531981945037842]	['negative', 'neutral', 'positive'][0.48086246848106384, 0.2625485360622406, 0.2565889358520508]	['positive', 'negative', 'neutral'][0.7211945056915283, 0.18251661956310272, 0.09628888964653015]	
['positive', 'neutral', 'negative'][0.9913519620895386, 0.006704534403979778, 0.0019435198046267033]	['positive', 'negative', 'neutral'][0.7211945056915283, 0.18251661956310272, 0.09628888964653015]	['positive', 'negative', 'neutral'][0.9426323175430298, 0.04040241986513138, 0.01696527935564518]	
['positive', 'neutral', 'negative'][0.9913519620895386, 0.006704534403979778, 0.0019435198046267033]	['positive', 'neutral', 'negative'][0.6013491749763489, 0.2533309757709503, 0.14531981945037842]	['positive', 'neutral', 'negative'][0.9913519620895386, 0.006704534403979778, 0.0019435198046267033]	
['positive', 'negative', 'neutral'][0.5203696489334106, 0.2816234529018402, 0.19800685346126556]	['positive', 'neutral', 'negative'][0.9913519620895386, 0.006704534403979778, 0.0019435198046267033]	['positive', 'negative', 'neutral'][0.5203696489334106, 0.2816234529018402, 0.19800685346126556]	
['positive', 'neutral', 'negative'][0.9691520929336548, 0.020385723561048508, 0.010462196543812752]	['positive', 'neutral', 'negative'][0.48312675952911377, 0.40272238850593567, 0.114150770008564]	['positive', 'negative', 'neutral'][0.7108911871910095, 0.23849603533744812, 0.050612762570381165]	
['negative', 'neutral', 'positive'][0.7933698892593384, 0.12455199658870697, 0.08207810670137405]	['negative', 'neutral', 'positive'][0.6449059844017029, 0.2795921564102173, 0.07550190389156342]	['negative', 'neutral', 'positive'][0.6557452082633972, 0.2561884820461273, 0.08806632459163666]	
['negative', 'positive', 'neutral'][0.4570845365524292, 0.430301308631897, 0.11261413991451263]	['negative', 'neutral', 'positive'][0.7933698892593384, 0.12455199658870697, 0.08207810670137405]	['positive', 'neutral', 'negative'][0.787651538848877, 0.11396674066781998, 0.09838171303272247]	
['positive', 'neutral', 'negative'][0.6553463935852051, 0.17772004008293152, 0.1669335663318634]	['negative', 'positive', 'neutral'][0.4570845365524292, 0.430301308631897, 0.11261413991451263]	['positive', 'negative', 'neutral'][0.6407667994499207, 0.21157830953598022, 0.14765489101409912]	
['positive', 'negative', 'neutral'][0.6383579969406128, 0.26232463121414185, 0.09931732714176178]	['positive', 'neutral', 'negative'][0.6553463935852051, 0.17772004008293152, 0.1669335663318634]	['negative', 'positive', 'neutral'][0.45882418751716614, 0.41426539421081543, 0.1269104778766632]	
['negative', 'positive', 'neutral'][0.5741949081420898, 0.3482612073421478, 0.07754379510879517]	['positive', 'negative', 'neutral'][0.6383579969406128, 0.26232463121414185, 0.09931732714176178]	['negative', 'positive', 'neutral'][0.5995677709579468, 0.3198961913585663, 0.08053608238697052]	
['positive', 'neutral', 'negative'][0.97208571434021, 0.015350979752838612, 0.012563370168209076]	['negative', 'positive', 'neutral'][0.46454066038131714, 0.29615089297294617, 0.23930838704109192]	['positive', 'neutral', 'negative'][0.8403937220573425, 0.13200713694095612, 0.027599142864346504]	
['positive', 'neutral', 'negative'][0.6081333160400391, 0.28663671016693115, 0.10522999614477158]	['positive', 'neutral', 'negative'][0.540215253829956, 0.32674530148506165, 0.13303937017917633]	['neutral', 'positive', 'negative'][0.4210509657859802, 0.33245477080345154, 0.24649421870708466]	
['neutral', 'negative', 'positive'][0.40708741545677185, 0.3523305356502533, 0.24058206379413605]	['neutral', 'negative', 'positive'][0.40708741545677185, 0.3523305356502533, 0.24058206379413605]	['neutral', 'positive', 'negative'][0.4158935546875, 0.31677472591400146, 0.26733165979385376]	
['positive', 'neutral', 'negative'][0.8805516958236694, 0.09352851659059525, 0.02591981180012226]	['positive', 'negative', 'neutral'][0.5443981289863586, 0.31013035774230957, 0.1454714983701706]	['neutral', 'positive', 'negative'][0.70177161693573, 0.17048804461956024, 0.12774036824703217]	
['neutral', 'negative', 'positive'][0.3645930886268616, 0.33663517236709595, 0.29877182841300964]	['neutral', 'positive', 'negative'][0.70177161693573, 0.17048804461956024, 0.12774036824703217]	['negative', 'positive', 'neutral'][0.9677896499633789, 0.017569970339536667, 0.014640362933278084]	
['neutral', 'negative', 'positive'][0.3645930886268616, 0.33663517236709595, 0.29877182841300964]	['positive', 'neutral', 'negative'][0.813419759273529, 0.1082453653216362, 0.07833492755889893]	['negative', 'positive', 'neutral'][0.7273715734481812, 0.19168135523796082, 0.08094711601734161]	
['positive', 'neutral', 'negative'][0.7828631401062012, 0.17909717559814453, 0.03803970664739609]	['positive', 'neutral', 'negative'][0.7828631401062012, 0.17909717559814453, 0.03803970664739609]	['positive', 'negative', 'neutral'][0.9922325015068054, 0.004085075110197067, 0.0036824699491262436]	
['positive', 'negative', 'neutral'][0.485848069190979, 0.3152073919773102, 0.1989445686340332]	
